Country,Date,Cases,Deaths,Recoveries,SANITY_CHECK,Mortality_Rate,Recovery_Rate,Mortality_Rate_Change,Recovery_Rate_Change
HUNGARY,2020-06-09,4017,550,2324,true,0.13691809808314662,0.5785411999004232,0.002900083404654197,0.016753229597328723
HUNGARY,2020-06-10,4027,551,2355,true,0.1368264216538366,0.5848025825676683,-6.695713027969896E-4,0.010822708336627906
HUNGARY,2020-06-11,4039,553,2391,true,0.1369150779896014,0.591978212428819,6.479474848000155E-4,0.012270174713738369
HUNGARY,2020-06-12,4053,555,2447,true,0.13693560325684678,0.6037503084135208,1.4991239494421826E-4,0.01988602914354276
HUNGARY,2020-06-13,4064,559,2476,true,0.1375492125984252,0.609251968503937,0.00448100659714834,0.009112475826095867
HUNGARY,2020-06-14,4069,562,2482,true,0.13811747358073237,0.6099778815433767,0.004131328501066678,0.001191482468611893
HUNGARY,2020-06-15,4076,563,2485,true,0.13812561334641807,0.6096663395485771,5.8933641592817665E-5,-5.107431010635821E-4
HUNGARY,2020-06-16,4077,565,2516,true,0.13858229090017168,0.6171204316899681,0.003306248151154101,0.01222651089268001
HUNGARY,2020-06-17,4078,567,2547,true,0.13903874448258952,0.6245708680725846,0.003293736735429098,0.012072905060384498
HUNGARY,2020-06-18,4079,568,2564,true,0.13924981613140475,0.6285854376072567,0.001518077925694028,0.006427724602431573
HUNGARY,2020-06-19,4081,568,2581,true,0.1391815731438373,0.6324430286694438,-4.900759617739725E-4,0.006136939915234452
HUNGARY,2020-06-20,4086,570,2585,true,0.1395007342143906,0.6326480665687714,0.0022931273396620266,3.241997935512497E-4
HUNGARY,2020-06-21,4094,570,2589,true,0.13922813873961895,0.6323888617489009,-0.0019540791402051783,-4.097140789133258E-4
HUNGARY,2020-06-22,4102,572,2590,true,0.1394441735738664,0.6313993174061433,0.001551660721770265,-0.001564771934820186
HUNGARY,2020-06-23,4107,573,2600,true,0.13951789627465302,0.6330654979303628,5.286897178788941E-4,0.0026388696951151758
HUNGARY,2020-06-24,4114,576,2618,true,0.14000972289742344,0.6363636363636364,0.0035251866312706603,0.005209790209790066
HUNGARY,2020-06-25,4123,577,2640,true,0.13994664079553723,0.6403104535532379,-4.5055515131919854E-4,0.006202141297945385
HUNGARY,2020-06-26,4127,578,2663,true,0.1400533074872789,0.6452629028349891,7.621954420293786E-4,0.007734450147219851
HUNGARY,2020-06-27,4138,578,2681,true,0.13968100531657807,0.6478975350410826,-0.0026582890285161698,0.004083036843615329
HUNGARY,2020-06-28,4142,581,2685,true,0.14027040077257363,0.6482375663930469,0.004219582001573796,5.248227282461659E-4
HUNGARY,2020-06-29,4145,585,2685,true,0.1411338962605549,0.6477683956574186,0.006155935131184842,-7.237635705669154E-4
HUNGARY,2020-06-30,4155,585,2692,true,0.1407942238267148,0.6478941034897714,-0.002406738868832803,1.9406292927448554E-4
HUNGARY,2020-07-01,4157,586,2714,true,0.14096704354101516,0.6528746692326197,0.0012274630990050106,0.007687314510228305
HUNGARY,2020-07-02,4166,587,2721,true,0.14090254440710515,0.6531445031204993,-4.5754761034799696E-4,4.133012055693719E-4
HUNGARY,2020-07-03,4172,588,2752,true,0.14093959731543623,0.6596356663470757,2.6296834089833965E-4,0.009938326351311089
HUNGARY,2020-07-04,4174,589,2784,true,0.14111164350742691,0.6669861044561571,0.0012207086955529078,0.011143178703156842
HUNGARY,2020-07-05,4183,589,2811,true,0.1408080325125508,0.6720057375089649,-0.002151565861821525,0.007525843520983955
HUNGARY,2020-07-06,4189,589,2860,true,0.14060634996419194,0.6827405108617809,-0.001432322750059667,0.015974228721034933
HUNGARY,2020-07-07,4205,589,2874,true,0.14007134363852555,0.6834720570749108,-0.0038049940546969196,0.001071484995385008
HUNGARY,2020-07-08,4210,589,2885,true,0.13990498812351543,0.6852731591448931,-0.001187648456057011,0.00263522414901729
HUNGARY,2020-07-09,4220,591,2887,true,0.1400473933649289,0.6841232227488152,0.0010178710803918634,-0.0016780700961829265
HUNGARY,2020-07-10,4223,593,2941,true,0.14042150130239167,0.6964243428842055,0.0026712952556562364,0.017980854510338373
HUNGARY,2020-07-11,4229,595,2974,true,0.14069519981082998,0.7032395365334595,0.0019491210811719561,0.009785978504182058
HUNGARY,2020-07-12,4234,595,3036,true,0.14052905054322154,0.7170524326877658,-0.001180916391119502,0.019641808283981543
HUNGARY,2020-07-13,4247,595,3073,true,0.1400988933364728,0.7235695785260183,-0.0030609842241582363,0.00908879956494113
HUNGARY,2020-07-14,4258,595,3106,true,0.13973696571160169,0.7294504462188821,-0.002583372475340573,0.008127577315845347
HUNGARY,2020-07-15,4263,595,3126,true,0.13957307060755336,0.733286418015482,-0.001172882946281928,0.005258714716652291
HUNGARY,2020-07-16,4279,595,3156,true,0.13905118018228557,0.7375555036223417,-0.003739191399859787,0.005821852828548524
HUNGARY,2020-07-17,4293,595,3220,true,0.1385977172140694,0.7500582343349639,-0.0032611227579780744,0.016951579442113562
HUNGARY,2020-07-18,4315,596,3222,true,0.1381228273464658,0.7466975666280418,-0.003426390254827383,-0.0044805423806884015
HUNGARY,2020-07-19,4333,596,3223,true,0.137549042234018,0.7438264481883222,-0.004154165705054114,-0.003845088785657924
HUNGARY,2020-07-20,4339,596,3232,true,0.13735883844203733,0.7448720903433971,-0.0013828070984098773,0.0014057609239650493
HUNGARY,2020-07-21,4347,596,3257,true,0.1371060501495284,0.7492523579480102,-0.001840349666436758,0.005880563470425759
HUNGARY,2020-07-22,4366,596,3283,true,0.1365093907466789,0.7519468621163536,-0.004351809436554999,0.0035962571752499173
HUNGARY,2020-07-23,4380,596,3300,true,0.13607305936073058,0.7534246575342466,-0.0031963470319636977,0.0019652923528847843
HUNGARY,2020-07-24,4398,596,3312,true,0.13551614370168258,0.7530695770804912,-0.004092769440654731,-4.712886022572027E-4
HUNGARY,2020-07-25,4424,596,3324,true,0.13471971066907776,0.7513562386980108,-0.005877034358046984,-0.002275139554996475
HUNGARY,2020-07-26,4435,596,3329,true,0.13438556933483653,0.750620067643743,-0.002480270574971799,-9.79789634199979E-4
HUNGARY,2020-07-27,4448,596,3329,true,0.13399280575539568,0.7484262589928058,-0.0029226618705036067,-0.0029226618705036067
HUNGARY,2020-07-28,4456,596,3331,true,0.13375224416517056,0.7475314183123878,-0.0017953321364452268,-0.001195629722589131
HUNGARY,2020-07-29,4465,596,3339,true,0.13348264277715566,0.7478163493840986,-0.0020156774916013642,3.811626705323423E-4
HUNGARY,2020-07-30,4484,596,3346,true,0.13291703835860838,0.7462087421944692,-0.00423728813559332,-0.0021497352805316394
HUNGARY,2020-07-31,4505,596,3353,true,0.13229744728079912,0.7442841287458379,-0.004661487236403916,-0.002579189092547063
HUNGARY,2020-08-01,4526,597,3364,true,0.13190455148033584,0.7432611577551922,-0.0029697912434346607,-0.0013744361207452815
HUNGARY,2020-08-02,4535,597,3389,true,0.13164277839029767,0.7472987872105843,-0.001984564498346275,0.005432315967629275
HUNGARY,2020-08-03,4544,597,3413,true,0.13138204225352113,0.751100352112676,-0.001980633802816767,0.0050870748984910286
HUNGARY,2020-08-04,4553,598,3415,true,0.13134197232593894,0.7500549088513069,-3.0498785750998625E-4,-0.0013918822677003728
HUNGARY,2020-08-05,4564,599,3431,true,0.13124452234881684,0.7517528483786152,-7.419560967173444E-4,0.002263753636261967
HUNGARY,2020-08-06,4597,600,3463,true,0.13051990428540353,0.7533173809005873,-0.005521129952284376,0.002081179373442321
HUNGARY,2020-08-07,4621,602,3464,true,0.13027483228738368,0.7496212940921878,-0.0018776599581620257,-0.004906413819870781
HUNGARY,2020-08-08,4653,602,3491,true,0.12937889533634214,0.7502686438856652,-0.006877283473028184,8.63569109601281E-4
HUNGARY,2020-08-09,4696,602,3499,true,0.12819420783645655,0.7451022146507666,-0.00915672913117549,-0.006886105766251149
HUNGARY,2020-08-10,4731,605,3525,true,0.12787994081589515,0.7450856055802156,-0.0024514915756749245,-2.2290996086749004E-5
HUNGARY,2020-08-11,4746,605,3527,true,0.12747576906868943,0.7431521281078803,-0.003160556257901237,-0.0025949735947853325
HUNGARY,2020-08-12,4768,605,3529,true,0.12688758389261745,0.7401426174496645,-0.004614093959731558,-0.004049656247205102
HUNGARY,2020-08-13,4813,607,3561,true,0.1261167670891336,0.7398711822148348,-0.006074800857869378,-3.6673369216999596E-4
HUNGARY,2020-08-14,4853,607,3590,true,0.12507727179064496,0.7397486091077684,-0.008242324335462792,-1.6566817307239745E-4
HUNGARY,2020-08-15,4877,607,3606,true,0.12446175927824482,0.7393889686282551,-0.004921058027475889,-4.861658069855723E-4
HUNGARY,2020-08-16,4916,608,3623,true,0.12367778681855167,0.7369812855980472,-0.00629890228323482,-0.0032563145142329164
HUNGARY,2020-08-17,4946,608,3630,true,0.12292761827739587,0.7339264051758997,-0.006065507480792598,-0.004145126181417935
HUNGARY,2020-08-18,4970,609,3631,true,0.12253521126760564,0.7305835010060362,-0.003192179392142225,-0.004554822045218954
HUNGARY,2020-08-19,5002,609,3665,true,0.12175129948020792,0.7327069172331068,-0.006397441023590522,0.0029064661659434776
HUNGARY,2020-08-20,5046,609,3678,true,0.1206896551724138,0.7288941736028538,-0.008719778042013515,-0.005203640829065548
HUNGARY,2020-08-21,5098,611,3681,true,0.11985092193016869,0.7220478619066301,-0.006949504007173757,-0.009392737579974164
HUNGARY,2020-08-22,5133,611,3692,true,0.11903370348723943,0.719267484901617,-0.006818624586012012,-0.003850682415527551
HUNGARY,2020-08-23,5155,613,3695,true,0.11891367604267701,0.7167798254122212,-0.001008348400882042,-0.0034586013431929796
HUNGARY,2020-08-24,5191,613,3695,true,0.11808900019264111,0.7118089000192641,-0.006935079946060463,-0.006935079946060574
HUNGARY,2020-08-25,5215,614,3716,true,0.11773729626078619,0.7125599232981783,-0.002978295449035717,0.0010550911612567937
HUNGARY,2020-08-26,5288,614,3734,true,0.11611195158850227,0.7061270801815431,-0.013804841149773095,-0.009027792479346708
HUNGARY,2020-08-27,5379,614,3757,true,0.11414761108012642,0.6984569622606432,-0.01691764268451379,-0.010862234484659505
HUNGARY,2020-08-28,5511,614,3759,true,0.11141353656323716,0.6820903647250952,-0.0239520958083832,-0.0234325068255824
