epoch,step,train_acc,train_loss,val_acc,val_acc_just_0,val_acc_just_1,val_loss
0,49,0.6266666650772095,0.701812744140625,,,,
0,99,0.5199999809265137,0.7711528539657593,,,,
0,149,0.653333306312561,0.6617708206176758,,,,
0,199,0.6266666650772095,0.6706314086914062,,,,
0,249,0.6266666650772095,0.6873968839645386,,,,
0,299,0.6933333277702332,0.6541613936424255,,,,
0,299,,,0.6488000154495239,0.5040000081062317,0.4959999918937683,0.6732667684555054
1,349,0.653333306312561,0.6400964260101318,,,,
1,399,0.5866666436195374,0.6652886867523193,,,,
1,449,0.7066666483879089,0.6486557126045227,,,,
1,499,0.746666669845581,0.6049043536186218,,,,
1,549,0.6666666865348816,0.6391180157661438,,,,
1,599,0.6666666865348816,0.6666916012763977,,,,
1,599,,,0.6600000262260437,0.5040000081062317,0.4959999918937683,0.6596419811248779
2,649,0.7066666483879089,0.5890659689903259,,,,
2,699,0.5600000023841858,0.7235764861106873,,,,
2,749,0.6800000071525574,0.6166240572929382,,,,
2,799,0.6133333444595337,0.6450785994529724,,,,
2,849,0.7333333492279053,0.5945295095443726,,,,
2,899,0.7066666483879089,0.6097542643547058,,,,
2,899,,,0.701200008392334,0.5040000081062317,0.4959999918937683,0.6232202053070068
3,949,0.6800000071525574,0.6796339750289917,,,,
3,999,0.8266666531562805,0.5474064946174622,,,,
3,1049,0.6933333277702332,0.6650894284248352,,,,
3,1099,0.7200000286102295,0.6339365839958191,,,,
3,1149,0.7333333492279053,0.5935579538345337,,,,
3,1199,0.7333333492279053,0.5957403182983398,,,,
3,1199,,,0.6912000179290771,0.5040000081062317,0.4959999918937683,0.6370235681533813
4,1249,0.746666669845581,0.5633800029754639,,,,
4,1299,0.7733333110809326,0.5815732479095459,,,,
4,1349,0.7066666483879089,0.6089637279510498,,,,
4,1399,0.7866666913032532,0.5754554867744446,,,,
4,1449,0.7733333110809326,0.5986700654029846,,,,
4,1499,0.7599999904632568,0.5695371627807617,,,,
4,1499,,,0.7188000082969666,0.5040000081062317,0.4959999918937683,0.6129435300827026
5,1549,0.6933333277702332,0.6326017379760742,,,,
5,1599,0.6000000238418579,0.6741876006126404,,,,
5,1649,0.7066666483879089,0.6034223437309265,,,,
5,1699,0.6666666865348816,0.6631033420562744,,,,
5,1749,0.6666666865348816,0.637962281703949,,,,
5,1799,0.7599999904632568,0.5880264639854431,,,,
5,1799,,,0.7283999919891357,0.5040000081062317,0.4959999918937683,0.6040281057357788
6,1849,0.7333333492279053,0.6050481796264648,,,,
6,1899,0.7599999904632568,0.5932454466819763,,,,
6,1949,0.6399999856948853,0.6377249360084534,,,,
6,1999,0.653333306312561,0.6268925070762634,,,,
6,2049,0.6666666865348816,0.6408835053443909,,,,
6,2099,0.746666669845581,0.5682535171508789,,,,
6,2099,,,0.7491999864578247,0.5040000081062317,0.4959999918937683,0.5841274857521057
7,2149,0.746666669845581,0.5824913382530212,,,,
7,2199,0.7066666483879089,0.6015621423721313,,,,
7,2249,0.6266666650772095,0.6399605870246887,,,,
7,2299,0.800000011920929,0.5621079206466675,,,,
7,2349,0.7333333492279053,0.5956076979637146,,,,
7,2399,0.7200000286102295,0.6483060717582703,,,,
7,2399,,,0.7483999729156494,0.5040000081062317,0.4959999918937683,0.5858976244926453
8,2449,0.7599999904632568,0.5713571310043335,,,,
8,2499,0.7733333110809326,0.5733185410499573,,,,
8,2549,0.7733333110809326,0.554034411907196,,,,
8,2599,0.7733333110809326,0.5768506526947021,,,,
8,2649,0.7066666483879089,0.5991970300674438,,,,
